season,gameweek,deadline,generated_at,element,role
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,384,starter
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,4,starter
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,8,starter
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,391,starter
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,426,captain
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,154,vice
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,40,starter
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,124,starter
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,69,starter
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,26,starter
2026-27,5,2026-09-18T17:30:00Z,2026-09-18T11:37:25.950364+00:00,249,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,412,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,391,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,229,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,230,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,426,captain
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,397,vice
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,12,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,403,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,124,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,379,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-23T11:57:05.650507+00:00,249,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,412,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,356,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,391,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,229,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,426,captain
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,12,vice
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,403,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,124,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,94,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,379,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-24T12:04:43.120608+00:00,249,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,412,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,356,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,391,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,229,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,426,captain
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,12,vice
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,403,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,236,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,124,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,379,starter
2026-27,6,2026-10-10T10:00:00Z,2026-09-25T12:05:04.515096+00:00,249,starter
