feature,importance
team,3805
opponent_team,3246
GW,1663
value,1390
us_xgbuildup_roll5,1138
us_xgchain_lag1,1100
us_xgbuildup_roll3,1070
us_xgchain_roll3,1047
influence_roll5,1032
bps_roll5,1016
us_xgchain_roll5,1014
influence_roll3,1001
influence_lag1,1000
us_xgbuildup_lag1,943
creativity_roll5,928
bps_roll3,920
us_time_roll5,887
ict_index_roll5,870
ict_index_roll3,865
creativity_roll3,834
minutes_roll5,812
threat_roll5,808
creativity_lag1,804
total_points_roll5,803
season,801
ict_index_lag1,767
bps_lag1,731
threat_roll3,695
expected_goal_involvements_lag1,689
expected_assists_roll5,683
expected_goal_involvements_roll5,668
us_time_roll3,659
expected_goal_involvements_roll3,654
us_xa_roll5,636
expected_assists_roll3,633
us_xa_roll3,618
threat_lag1,610
expected_goals_roll5,605
expected_goals_roll3,578
minutes_roll3,577
total_points_roll3,576
expected_assists_lag1,542
us_xa_lag1,529
us_shots_roll5,522
us_time_lag1,505
us_xg_roll5,484
expected_goals_lag1,479
us_npxg_roll3,457
us_npxg_roll5,456
us_xg_lag1,454
us_xg_roll3,440
us_key_passes_roll5,413
expected_goals_conceded_lag1,369
total_points_lag1,359
us_npxg_lag1,359
expected_goals_conceded_roll5,353
us_shots_roll3,344
minutes_lag1,322
expected_goals_conceded_roll3,313
position,308
was_home,303
bonus_roll5,296
us_key_passes_roll3,211
bonus_roll3,165
us_shots_lag1,142
us_key_passes_lag1,85
starts_roll5,79
bonus_lag1,64
starts_roll3,46
starts_lag1,16
played_lag1,9
