feature,importance
team,1617
opponent_team,1155
value,613
total_points_season_avg,263
opponent_gw2,257
GW,246
us_xgbuildup_lag1,243
us_time_lag1,237
minutes_trend,226
us_xgchain_lag1,219
xg_momentum,216
us_xgbuildup_roll3,213
us_shots_roll10,210
opponent_gw3,210
points_momentum,200
total_points_roll10,197
us_time_roll10,196
us_xgbuildup_roll10,195
bps_season_avg,195
ict_index_lag1,187
us_xgbuildup_roll5,187
us_time_roll5,183
us_xgchain_roll3,180
fdr_defence_gw3,178
threat_roll5,177
ict_index_roll10,176
season,171
creativity_lag1,170
minutes_season_avg,168
bps_roll3,167
expected_goal_involvements_lag1,165
fdr_attack_gw2,164
total_points_roll5,159
influence_season_avg,159
us_time_roll3,158
bps_roll10,157
threat_season_avg,156
influence_lag1,156
us_xgchain_roll5,154
ict_index_roll3,154
threat_roll10,154
bps_roll5,153
threat_roll3,153
bps_momentum,152
games_since_start,149
us_npxg_lag1,145
influence_roll5,142
minutes_roll5,141
expected_goals_lag1,141
us_xgchain_roll10,141
bps_lag1,141
expected_assists_lag1,140
fdr_defence_gw2,139
minutes_roll10,138
influence_roll3,138
us_xa_lag1,137
fdr_attack_gw3,135
creativity_roll3,135
influence_roll10,135
ict_index_roll5,132
expected_goals_season_avg,131
expected_assists_season_avg,131
creativity_season_avg,131
us_xa_roll10,130
total_points_roll3,126
position,126
creativity_roll10,126
expected_goal_involvements_roll3,126
bonus_roll10,124
minutes_roll3,122
expected_assists_roll3,122
creativity_roll5,117
us_xa_roll3,116
minutes_lag1,116
us_npxg_roll3,115
expected_goals_conceded_lag1,115
expected_goals_conceded_roll3,114
us_shots_roll5,113
us_xg_lag1,111
total_points_lag1,110
us_key_passes_roll10,110
expected_assists_roll10,108
expected_goal_involvements_roll5,104
expected_assists_roll5,102
threat_lag1,101
expected_goal_involvements_roll10,100
expected_goals_conceded_roll10,96
us_npxg_roll10,91
us_npxg_roll5,91
expected_goals_roll10,91
us_xa_roll5,90
us_xg_roll10,89
us_key_passes_roll5,88
expected_goals_roll5,88
was_home_gw2,87
was_home,80
us_xg_roll5,78
us_xg_roll3,78
expected_goals_roll3,75
expected_goals_conceded_roll5,71
us_key_passes_roll3,69
us_shots_lag1,59
us_shots_roll3,59
bonus_roll5,47
consecutive_starts,38
starts_roll10,35
fdr_gw3,31
us_key_passes_lag1,30
bonus_roll3,29
was_home_gw3,28
bonus_lag1,18
fdr_gw2,15
starts_roll5,11
starts_lag1,9
starts_roll3,5
played_lag1,2
