feature,importance
value,0.24901983956539173
played_lag1,0.17165861805419677
total_points_season_avg,0.09359935124801107
minutes_season_avg,0.08443522033303981
fdr_gw2,0.07947563350514375
minutes_lag1,0.07764292086202267
minutes_roll3,0.06894546644933999
was_home_gw2,0.06618319332759497
total_points_roll10,0.06365371529356478
total_points_roll5,0.054544509637224785
minutes_roll10,0.04695835950548575
bps_season_avg,0.045183655619844325
minutes_roll5,0.0416265612724172
us_time_roll10,0.04113473713324386
total_points_roll3,0.040207694594174184
us_xgchain_roll10,0.03315527948631385
fdr_defence_gw2,0.03159449212524315
us_time_roll5,0.02918767366894656
bps_lag1,0.025797755531060878
influence_season_avg,0.02559005321206457
threat_season_avg,0.02345728351949077
us_time_roll3,0.020651599595767962
bps_roll5,0.019863405993888833
influence_roll10,0.01982077597211777
total_points_lag1,0.019048155561813152
ict_index_roll10,0.01781790768409131
us_shots_roll3,0.017203290407182083
bonus_roll10,0.017114749853253463
us_shots_roll10,0.01596872934160136
influence_roll5,0.015810848137214745
minutes_trend,0.01508229390999456
bps_roll10,0.0148463198498296
us_time_lag1,0.013767977470562114
creativity_season_avg,0.013011481791561794
bonus_roll3,0.011351371273378383
creativity_roll5,0.009767806016297372
us_xgchain_roll5,0.00922479776595822
ict_index_lag1,0.009164844863064915
us_xa_roll5,0.008480070322494527
ict_index_roll5,0.007470027792519562
bps_roll3,0.007017133049927598
us_xa_roll10,0.006964531239449911
position,0.00660532329763636
bonus_roll5,0.0065204504210215715
us_key_passes_roll10,0.006452223804157428
ict_index_roll3,0.005931704150173079
opponent_gw2,0.005805419285748329
influence_lag1,0.005421593442296703
fdr_attack_gw2,0.0052527635866508
team,0.004238797094121803
creativity_roll10,0.004163311173384744
us_shots_lag1,0.0031486239755074428
games_since_start,0.002622408599966781
consecutive_starts,0.0020960623015063825
opponent_team,0.001778174447567037
was_home_gw3,0.0013223792928148505
expected_assists_roll5,0.0010145031963465906
us_shots_roll5,0.0009966608796894622
us_key_passes_roll5,0.0007484621388890056
expected_goals_season_avg,0.0
fdr_attack_gw3,0.0
expected_goals_conceded_roll10,0.0
opponent_gw3,0.0
threat_roll10,0.0
fdr_gw3,0.0
expected_assists_roll10,0.0
us_xg_roll10,0.0
xg_momentum,0.0
us_npxg_roll10,0.0
bps_momentum,0.0
points_momentum,0.0
us_xgbuildup_roll10,0.0
expected_assists_season_avg,0.0
expected_goal_involvements_roll10,0.0
season,0.0
expected_goals_roll10,0.0
expected_goal_involvements_roll3,0.0
expected_goals_roll3,0.0
starts_roll3,0.0
us_key_passes_lag1,0.0
us_xgbuildup_lag1,0.0
us_xgchain_lag1,0.0
us_npxg_lag1,0.0
us_xa_lag1,0.0
us_xg_lag1,0.0
bonus_lag1,0.0
threat_lag1,0.0
creativity_lag1,0.0
expected_goals_conceded_lag1,0.0
expected_goal_involvements_lag1,0.0
expected_assists_lag1,0.0
expected_goals_lag1,0.0
starts_lag1,0.0
was_home,0.0
expected_assists_roll3,0.0
expected_goals_conceded_roll3,0.0
starts_roll10,0.0
influence_roll3,0.0
us_xgbuildup_roll5,0.0
us_npxg_roll5,0.0
us_xg_roll5,0.0
threat_roll5,0.0
GW,0.0
expected_goals_conceded_roll5,0.0
expected_goal_involvements_roll5,0.0
expected_goals_roll5,0.0
starts_roll5,0.0
us_key_passes_roll3,0.0
us_xgbuildup_roll3,0.0
us_xgchain_roll3,0.0
us_npxg_roll3,0.0
us_xa_roll3,0.0
us_xg_roll3,0.0
threat_roll3,0.0
creativity_roll3,0.0
fdr_defence_gw3,0.0
