feature,importance
team,777
opponent_team,468
value,420
minutes_trend,257
total_points_season_avg,144
fdr_gw2,139
fdr_defence_gw2,130
was_home_gw2,118
position,118
minutes_roll3,114
GW,113
opponent_gw2,97
bps_roll3,94
us_time_roll3,90
us_time_roll10,85
us_shots_roll10,83
us_xgbuildup_roll3,82
threat_roll10,81
us_xgbuildup_roll10,81
ict_index_roll10,80
us_xgchain_roll10,78
bps_season_avg,78
us_key_passes_roll10,77
ict_index_roll5,76
fdr_attack_gw2,76
games_since_start,70
influence_season_avg,69
minutes_roll10,69
expected_goals_season_avg,68
us_time_roll5,66
bps_roll5,66
season,65
ict_index_roll3,63
total_points_roll10,62
us_xgchain_roll5,62
bonus_roll10,61
total_points_roll5,61
minutes_roll5,61
us_npxg_roll10,60
minutes_season_avg,60
expected_goals_conceded_roll10,58
influence_roll10,58
opponent_gw3,58
expected_goals_roll5,57
total_points_roll3,56
bps_roll10,56
us_xg_roll3,54
influence_roll5,54
us_shots_roll5,54
threat_season_avg,53
creativity_roll3,53
expected_goal_involvements_roll3,53
us_key_passes_roll3,53
expected_assists_season_avg,53
us_xg_roll10,52
us_xgchain_roll3,52
fdr_defence_gw3,51
us_key_passes_roll5,50
us_xa_roll3,50
creativity_season_avg,50
threat_roll3,49
expected_assists_roll5,49
influence_roll3,48
us_xa_roll5,48
us_npxg_roll3,47
us_xgbuildup_roll5,46
expected_goals_conceded_roll3,46
creativity_roll5,44
expected_goal_involvements_roll5,43
fdr_attack_gw3,43
us_shots_roll3,42
expected_goals_roll10,42
us_xg_roll5,41
us_npxg_roll5,41
us_xa_roll10,39
expected_goal_involvements_roll10,38
expected_assists_roll10,36
threat_roll5,35
expected_assists_roll3,34
creativity_roll10,33
expected_goals_roll3,33
expected_goals_conceded_roll5,32
bonus_roll5,22
starts_roll10,17
bonus_roll3,15
consecutive_starts,13
was_home,11
was_home_gw3,8
fdr_gw3,5
starts_roll3,4
starts_roll5,2
