feature,importance
team,1661.0
opponent_team,1035.3333333333333
value,669.3333333333334
GW,285.6666666666667
total_points_season_avg,280.3333333333333
fdr_defence_gw3,237.0
opponent_gw3,230.0
opponent_gw2,228.33333333333334
us_xgbuildup_roll10,213.0
us_time_roll10,211.33333333333334
us_xgchain_lag1,200.33333333333334
us_xgbuildup_lag1,195.33333333333334
us_shots_roll10,191.0
bps_momentum,189.66666666666666
points_momentum,189.66666666666666
bps_season_avg,188.33333333333334
us_time_roll5,181.33333333333334
minutes_season_avg,179.0
us_xgbuildup_roll5,177.33333333333334
bps_roll5,176.66666666666666
xg_momentum,174.33333333333334
position,174.33333333333334
games_since_start,172.66666666666666
us_xgchain_roll10,171.0
us_xgchain_roll5,168.33333333333334
influence_season_avg,166.33333333333334
minutes_trend,165.0
us_xgbuildup_roll3,164.66666666666666
fdr_attack_gw3,164.33333333333334
total_points_roll10,160.33333333333334
us_xgchain_roll3,160.0
was_home_gw3,158.33333333333334
fdr_gw3,157.0
bps_roll3,154.66666666666666
threat_season_avg,154.33333333333334
season,153.66666666666666
fdr_defence_gw2,153.33333333333334
expected_goals_conceded_lag1,153.33333333333334
us_xa_roll3,153.33333333333334
ict_index_roll10,153.0
influence_roll10,153.0
ict_index_roll3,152.0
bps_lag1,152.0
creativity_roll3,150.66666666666666
ict_index_lag1,150.33333333333334
creativity_season_avg,148.66666666666666
threat_roll3,147.66666666666666
ict_index_roll5,146.66666666666666
us_xa_roll5,145.33333333333334
creativity_roll5,143.33333333333334
influence_roll3,143.0
influence_roll5,142.66666666666666
threat_roll5,142.66666666666666
influence_lag1,142.0
creativity_roll10,139.33333333333334
bps_roll10,138.33333333333334
minutes_roll10,137.66666666666666
us_time_roll3,136.66666666666666
creativity_lag1,136.66666666666666
expected_goal_involvements_lag1,135.33333333333334
threat_roll10,135.0
total_points_roll5,133.66666666666666
expected_assists_season_avg,133.0
expected_goals_season_avg,131.66666666666666
us_xa_roll10,129.0
us_key_passes_roll5,127.66666666666667
us_xg_roll10,127.33333333333333
total_points_roll3,126.66666666666667
us_xa_lag1,125.66666666666667
expected_assists_roll5,125.0
minutes_roll3,123.66666666666667
threat_lag1,123.33333333333333
fdr_attack_gw2,122.66666666666667
minutes_lag1,122.0
expected_assists_roll3,120.66666666666667
us_time_lag1,119.66666666666667
minutes_roll5,119.0
expected_goal_involvements_roll10,117.66666666666667
us_key_passes_roll10,115.0
bonus_roll10,113.66666666666667
expected_goal_involvements_roll3,113.0
expected_assists_roll10,112.0
us_xg_roll3,111.33333333333333
us_xg_lag1,110.66666666666667
us_shots_roll5,109.0
us_npxg_roll3,106.0
us_npxg_roll10,106.0
us_xg_roll5,104.66666666666667
expected_goals_lag1,101.33333333333333
expected_goals_conceded_roll5,101.0
expected_assists_lag1,97.66666666666667
us_npxg_lag1,96.66666666666667
expected_goal_involvements_roll5,95.66666666666667
expected_goals_roll10,94.66666666666667
us_npxg_roll5,94.66666666666667
expected_goals_roll3,92.0
total_points_lag1,92.0
expected_goals_conceded_roll10,89.33333333333333
expected_goals_roll5,89.0
us_key_passes_roll3,81.0
us_shots_roll3,75.0
bonus_roll5,70.0
expected_goals_conceded_roll3,66.33333333333333
consecutive_starts,43.0
us_shots_lag1,37.0
was_home,28.333333333333332
was_home_gw2,28.0
bonus_roll3,27.666666666666668
starts_roll10,25.0
us_key_passes_lag1,25.0
fdr_gw2,20.666666666666668
bonus_lag1,11.666666666666666
starts_roll5,6.666666666666667
starts_roll3,5.0
starts_lag1,3.0
played_lag1,1.6666666666666667
