feature,importance
team,3370
opponent_team,2634
value,977
GW,832
us_xgchain_lag1,806
us_xgbuildup_roll3,775
points_momentum,768
us_xgbuildup_lag1,721
total_points_season_avg,702
us_xgbuildup_roll10,694
us_xgchain_roll3,676
xg_momentum,664
bps_momentum,661
us_xgbuildup_roll5,642
influence_lag1,638
influence_roll3,637
influence_season_avg,607
us_xgchain_roll10,602
minutes_trend,599
us_time_roll10,587
us_xgchain_roll5,586
minutes_season_avg,582
bps_roll10,580
games_since_start,579
influence_roll10,571
bps_season_avg,551
creativity_lag1,548
influence_roll5,545
us_shots_roll10,539
expected_assists_season_avg,538
ict_index_lag1,530
ict_index_roll3,530
creativity_season_avg,523
bps_roll3,522
total_points_roll10,503
bps_roll5,496
expected_goal_involvements_lag1,496
us_time_roll5,493
season,491
threat_roll5,490
creativity_roll10,483
creativity_roll5,483
ict_index_roll5,477
bps_lag1,476
threat_roll3,473
threat_season_avg,464
creativity_roll3,463
expected_goal_involvements_roll3,459
us_xa_roll3,456
expected_assists_lag1,450
threat_roll10,449
expected_goals_season_avg,448
us_xa_roll10,447
us_time_roll3,435
ict_index_roll10,430
expected_goals_lag1,429
total_points_roll5,427
minutes_roll10,425
us_time_lag1,421
us_xa_lag1,420
minutes_roll5,410
minutes_roll3,400
threat_lag1,398
expected_assists_roll5,386
us_key_passes_roll10,382
us_xa_roll5,380
expected_goal_involvements_roll5,376
expected_assists_roll10,376
expected_assists_roll3,375
expected_goal_involvements_roll10,371
total_points_roll3,360
us_xg_roll10,339
us_xg_lag1,339
expected_goals_conceded_lag1,333
expected_goals_roll5,319
us_shots_roll5,310
bonus_roll10,304
us_xg_roll5,299
us_npxg_roll10,296
expected_goals_conceded_roll3,293
us_npxg_roll5,292
expected_goals_roll3,290
us_npxg_roll3,288
us_npxg_lag1,287
expected_goals_roll10,283
us_xg_roll3,271
total_points_lag1,261
us_shots_roll3,257
expected_goals_conceded_roll10,233
us_key_passes_roll5,228
minutes_lag1,192
was_home,182
expected_goals_conceded_roll5,172
us_key_passes_roll3,171
position,134
us_shots_lag1,128
bonus_roll5,125
starts_roll10,94
consecutive_starts,93
bonus_roll3,81
us_key_passes_lag1,71
bonus_lag1,49
starts_roll5,28
starts_lag1,26
starts_roll3,17
played_lag1,1
